iter	Logloss
0	0.681640853
1	0.6725546521
2	0.6621690058
3	0.6532753559
4	0.6458257189
5	0.6384004793
6	0.6305335425
7	0.6234656199
8	0.6173218109
9	0.6102703881
10	0.604501481
11	0.5995075465
12	0.593847921
13	0.5869147071
14	0.5810762607
15	0.5763906735
16	0.5711458158
17	0.5672177829
18	0.5627338447
19	0.5589916395
20	0.554765678
21	0.5503906434
22	0.5467992845
23	0.5432518454
24	0.5393085412
25	0.5357608396
26	0.5321919496
27	0.5285162671
28	0.5259231531
29	0.5234059442
30	0.5205783162
31	0.5175848068
32	0.5152431575
33	0.5132200737
34	0.511508163
35	0.5094018959
36	0.5070165062
37	0.5052817847
38	0.5029913575
39	0.5011478623
40	0.499016799
41	0.4969941955
42	0.4949836704
43	0.4933676633
44	0.491801632
45	0.4902619153
46	0.4882364153
47	0.4869002203
48	0.4853245865
49	0.4835855798
50	0.4823495537
51	0.4804537446
52	0.4791784051
53	0.4779610654
54	0.4767634637
55	0.4751268447
56	0.4734564574
57	0.4717791571
58	0.4704072987
59	0.4691503383
60	0.4681944386
61	0.4668575283
62	0.4656180015
63	0.4640747579
64	0.4631774751
65	0.4619741998
66	0.460893036
67	0.4598786982
68	0.458731646
69	0.4578108918
70	0.4569129337
71	0.4561064364
72	0.455297499
73	0.4543323638
74	0.4524636626
75	0.4515740831
76	0.4508167763
77	0.4499654905
78	0.4489504363
79	0.4482286021
80	0.447278555
81	0.4466877787
82	0.4452767311
83	0.4444243203
84	0.4438556734
85	0.4429067221
86	0.442328442
87	0.4415595583
88	0.4410694736
89	0.4402521133
90	0.4397953194
91	0.4391913716
92	0.4384873837
93	0.4376633425
94	0.4368014958
95	0.4362790955
96	0.4355493683
97	0.4348708071
98	0.434199804
99	0.4327467434
100	0.4317520312
101	0.4312597713
102	0.4306612144
103	0.4300897721
104	0.4294665787
105	0.4289852105
106	0.4284027662
107	0.4274719378
108	0.4270530956
109	0.4264106318
110	0.4258722551
111	0.4253835145
112	0.4250100259
113	0.4245636442
114	0.4240336065
115	0.4231472177
116	0.4227019095
117	0.4222646427
118	0.4216462637
119	0.4213253611
120	0.4207686902
121	0.4202472636
122	0.4197444611
123	0.4191952675
124	0.4187696205
125	0.418465148
126	0.4180045591
127	0.417748311
128	0.4174425887
129	0.4169670942
130	0.4164358208
131	0.4160622171
132	0.4155404334
133	0.4152280487
134	0.4148220696
135	0.4141243774
136	0.4136473298
137	0.4131790321
138	0.4127225191
139	0.4123374415
140	0.4115628254
141	0.4110991091
142	0.4104989866
143	0.4102528276
144	0.4100137228
145	0.4096332146
146	0.4094044111
147	0.4091350237
148	0.4087790273
149	0.4082097842
150	0.4077345277
151	0.4071412596
152	0.4066656719
153	0.40634587
154	0.4061376562
155	0.4059242062
156	0.4056003601
157	0.4049545953
158	0.404687091
159	0.4043668277
160	0.4041485548
161	0.4037763905
162	0.4035094245
163	0.403300962
164	0.4030396407
165	0.4026305717
166	0.4024373741
167	0.4021511738
168	0.4020166404
169	0.4016712581
170	0.401366791
171	0.4010252077
172	0.4007327504
173	0.400596228
174	0.4003373245
175	0.4001022742
176	0.3996776603
177	0.3991717746
178	0.3988689388
179	0.3985654615
180	0.3981360049
181	0.3979078815
182	0.3975094637
183	0.397304735
184	0.3970470626
185	0.39678755
186	0.3965062745
187	0.3962283785
188	0.3954065365
189	0.3950190871
190	0.3948154285
191	0.3946262686
192	0.3941721263
193	0.3939667042
194	0.3937429083
195	0.3934544132
196	0.3930774717
197	0.3928723104
198	0.3926450996
199	0.3923523607
200	0.3921845318
201	0.3919108272
202	0.3916027476
203	0.3914531832
204	0.3906419227
205	0.3904344106
206	0.3901697381
207	0.3898446592
208	0.3896199997
209	0.3894296224
210	0.3888505677
211	0.3885918298
212	0.3882532574
213	0.3879701167
214	0.3877844855
215	0.3874778046
