iter	Passed	Remaining
0	1	1319
1	2	1243
2	3	1217
3	4	1203
4	5	1190
5	7	1193
6	8	1228
7	9	1229
8	11	1232
9	12	1228
10	13	1229
11	14	1223
12	16	1219
13	17	1216
14	18	1217
15	19	1213
16	20	1208
17	22	1209
18	23	1206
19	24	1201
20	25	1208
21	27	1218
22	28	1222
23	30	1221
24	31	1217
25	33	1240
26	34	1244
27	35	1240
28	37	1247
29	38	1254
30	40	1267
31	42	1281
32	43	1275
33	44	1271
34	45	1266
35	47	1271
36	48	1271
37	50	1272
38	51	1273
39	52	1270
40	54	1267
41	55	1263
42	56	1260
43	58	1273
44	59	1269
45	61	1266
46	62	1262
47	63	1257
48	64	1253
49	65	1248
50	66	1246
51	68	1247
52	69	1249
53	71	1253
54	73	1261
55	74	1258
56	76	1259
57	77	1255
58	78	1253
59	79	1249
60	80	1246
61	82	1242
62	83	1241
63	85	1249
64	87	1251
65	88	1249
66	89	1247
67	91	1252
68	92	1251
69	93	1247
70	95	1244
71	96	1245
72	98	1250
73	99	1249
74	101	1255
75	103	1254
76	104	1254
77	106	1263
78	108	1260
79	109	1256
80	110	1253
81	111	1250
82	112	1248
83	114	1245
84	115	1244
85	116	1242
86	118	1239
87	119	1236
88	120	1234
89	121	1231
90	123	1229
91	124	1226
92	125	1224
93	126	1221
94	128	1221
95	129	1220
96	130	1219
97	132	1217
98	133	1215
99	134	1212
100	136	1210
101	137	1209
102	139	1211
103	140	1212
104	142	1214
105	143	1213
106	145	1211
107	146	1210
108	147	1208
109	149	1208
110	150	1207
111	152	1205
112	153	1203
113	154	1202
114	156	1200
115	157	1198
116	158	1196
117	159	1194
118	160	1191
119	162	1189
120	163	1187
121	164	1184
122	165	1182
123	167	1181
124	168	1179
125	169	1176
126	170	1173
127	172	1173
128	173	1171
129	174	1169
130	175	1167
131	177	1167
132	179	1167
133	180	1166
134	182	1167
135	183	1165
136	184	1162
137	185	1160
138	187	1158
139	188	1156
140	189	1153
141	190	1151
142	191	1149
143	193	1147
144	194	1145
145	195	1143
146	196	1142
147	198	1144
148	199	1142
149	201	1140
150	203	1143
151	204	1143
152	206	1142
153	208	1143
154	209	1142
155	210	1139
156	211	1137
157	213	1135
158	214	1133
159	215	1130
160	216	1128
